Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R407,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,129.0,-74.32,270.0,bottom
R408,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,133.0,-70.02,270.0,bottom
R409,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,133.0,-74.32,270.0,bottom
R410,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,136.42,-70.0,270.0,bottom
R411,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,136.0,-75.0,270.0,bottom
R412,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,169.2,-75.4,270.0,bottom
R413,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,164.2,-72.1,0.0,bottom
R414,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.7,-73.2,270.0,bottom
R415,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,147.0,-89.0,0.0,bottom
R416,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,151.4,-88.9,180.0,bottom
R417,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,152.0,-92.3,0.0,bottom
U401,AS179-92LF,SOT-363_SC-70-6,115.6,-84.7,0.0,bottom
U402,AS179-92LF,SOT-363_SC-70-6,116.0,-92.0,180.0,bottom
U403,AMS1117-5.0,SOT-223-3_TabPin2,160.55,-63.4,180.0,bottom
U404,AS179-92LF,SOT-363_SC-70-6,184.2,-94.7,0.0,bottom
U405,AMS1117-3.3,SOT-223-3_TabPin2,147.8,-63.16,180.0,bottom
U406,PCF8574A,SOIC-16W_7.5x10.3mm_P1.27mm,130.81,-83.82,0.0,bottom
U407,AS179-92LF,SOT-363_SC-70-6,177.05,-74.35,180.0,bottom
U408,PSA4-5043,SOT-89-3,152.6,-78.8,90.0,bottom
U409,AS179-92LF,SOT-363_SC-70-6,191.95,-85.35,180.0,bottom
